Forecasted Prices (Date, Mean, and Std):
2025-11-21 00:00: Mean = 32.64, Std = 0.77
2025-11-24 00:00: Mean = 32.65, Std = 0.76
2025-11-25 00:00: Mean = 32.66, Std = 0.77
2025-11-26 00:00: Mean = 32.66, Std = 0.77
2025-11-27 00:00: Mean = 32.66, Std = 0.77
2025-11-28 00:00: Mean = 32.65, Std = 0.77
2025-12-01 00:00: Mean = 32.65, Std = 0.77
2025-12-02 00:00: Mean = 32.66, Std = 0.77
2025-12-03 00:00: Mean = 32.65, Std = 0.77
2025-12-04 00:00: Mean = 32.65, Std = 0.78
2025-12-05 00:00: Mean = 32.65, Std = 0.78
2025-12-08 00:00: Mean = 32.65, Std = 0.79
2025-12-09 00:00: Mean = 32.64, Std = 0.79
2025-12-10 00:00: Mean = 32.65, Std = 0.79
2025-12-11 00:00: Mean = 32.66, Std = 0.78
2025-12-12 00:00: Mean = 32.66, Std = 0.78
2025-12-15 00:00: Mean = 32.66, Std = 0.78
2025-12-16 00:00: Mean = 32.66, Std = 0.78
2025-12-17 00:00: Mean = 32.66, Std = 0.79
2025-12-18 00:00: Mean = 32.65, Std = 0.79
2025-12-19 00:00: Mean = 32.66, Std = 0.79
2025-12-22 00:00: Mean = 32.66, Std = 0.79
2025-12-23 00:00: Mean = 32.65, Std = 0.80
2025-12-24 00:00: Mean = 32.66, Std = 0.80
2025-12-25 00:00: Mean = 32.66, Std = 0.80
2025-12-26 00:00: Mean = 32.66, Std = 0.79
2025-12-29 00:00: Mean = 32.67, Std = 0.79
2025-12-30 00:00: Mean = 32.67, Std = 0.79
2025-12-31 00:00: Mean = 32.67, Std = 0.79
2026-01-01 00:00: Mean = 32.67, Std = 0.79
2026-01-02 00:00: Mean = 32.68, Std = 0.80
2026-01-05 00:00: Mean = 32.68, Std = 0.81
2026-01-06 00:00: Mean = 32.68, Std = 0.82
2026-01-07 00:00: Mean = 32.68, Std = 0.82
2026-01-08 00:00: Mean = 32.69, Std = 0.82
2026-01-09 00:00: Mean = 32.69, Std = 0.83
2026-01-12 00:00: Mean = 32.70, Std = 0.83
2026-01-13 00:00: Mean = 32.70, Std = 0.83
2026-01-14 00:00: Mean = 32.70, Std = 0.84
2026-01-15 00:00: Mean = 32.69, Std = 0.84
2026-01-16 00:00: Mean = 32.69, Std = 0.84
2026-01-19 00:00: Mean = 32.70, Std = 0.84
2026-01-20 00:00: Mean = 32.70, Std = 0.85
2026-01-21 00:00: Mean = 32.70, Std = 0.85
2026-01-22 00:00: Mean = 32.70, Std = 0.85
2026-01-23 00:00: Mean = 32.69, Std = 0.85
2026-01-26 00:00: Mean = 32.69, Std = 0.86
2026-01-27 00:00: Mean = 32.69, Std = 0.86
2026-01-28 00:00: Mean = 32.69, Std = 0.86
2026-01-29 00:00: Mean = 32.69, Std = 0.86
2026-01-30 00:00: Mean = 32.69, Std = 0.87
2026-02-02 00:00: Mean = 32.70, Std = 0.87
2026-02-03 00:00: Mean = 32.69, Std = 0.87
2026-02-04 00:00: Mean = 32.69, Std = 0.88
2026-02-05 00:00: Mean = 32.69, Std = 0.87
2026-02-06 00:00: Mean = 32.69, Std = 0.88
2026-02-09 00:00: Mean = 32.69, Std = 0.87
2026-02-10 00:00: Mean = 32.69, Std = 0.88
2026-02-11 00:00: Mean = 32.69, Std = 0.88
2026-02-12 00:00: Mean = 32.69, Std = 0.88
2026-02-13 00:00: Mean = 32.69, Std = 0.88
2026-02-16 00:00: Mean = 32.70, Std = 0.89
2026-02-17 00:00: Mean = 32.70, Std = 0.89
2026-02-18 00:00: Mean = 32.70, Std = 0.90
2026-02-19 00:00: Mean = 32.70, Std = 0.90
2026-02-20 00:00: Mean = 32.70, Std = 0.90
